"Datetime";"ContentID";"ContentType";"Category";"Reaction";"Score";"URL"
"2020-11-07 09:43:50";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Disgust";0;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2021-06-17 12:22:51";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Dislike";10;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2021-04-18 05:13:58";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Scared";15;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2021-01-06 19:13:01";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Disgust";0;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2020-08-23 12:25:58";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Interested";30;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2020-12-07 06:27:54";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Peeking";35;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2021-04-11 17:35:49";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Cherish";70;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2021-01-27 08:32:09";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Hate";5;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2021-04-01 22:54:23";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Peeking";35;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2020-11-07 08:36:27";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Indifferent";20;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2020-11-02 06:28:53";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Scared";15;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2020-11-01 01:16:21";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Interested";30;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2020-10-07 18:39:08";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Hate";5;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2020-09-03 18:51:38";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Scared";15;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2021-02-24 05:09:23";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Super Love";75;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2020-09-23 06:24:11";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Peeking";35;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2021-02-24 11:37:57";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Indifferent";20;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2021-05-22 19:44:23";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Interested";30;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2020-11-20 17:26:23";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Peeking";35;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2021-04-11 20:47:13";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Worried";12;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2021-06-13 16:46:06";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Like";50;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2021-04-11 14:29:59";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Heart";60;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2021-03-02 19:21:19";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Worried";12;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2020-06-27 18:44:39";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Hate";5;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2021-05-09 21:05:17";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Hate";5;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2020-08-04 23:58:42";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Cherish";70;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2020-08-28 03:57:20";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Super Love";75;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2021-04-20 23:48:12";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Scared";15;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
